09/05/1981,Alabama,24,Louisiana State,7
09/05/1981,Brigham Young,31,Long Beach State,8
09/05/1981,Central Michigan,3,Pacific,10
09/05/1981,Drake,39,Northern Iowa,30
09/05/1981,Florida,20,Miami (Florida),21
09/05/1981,Fullerton State,13,Wyoming,38
09/05/1981,Illinois,6,Pittsburgh,26
09/05/1981,Indiana State,8,Louisiana-Monroe,38
09/05/1981,Kansas,15,Tulsa,11
09/05/1981,Lamar,18,Baylor,17
09/05/1981,Lenoir-Rhyne,9,Appalachian State,48
09/05/1981,Louisiana Tech,10,West Texas A&M,17
09/05/1981,Louisiana-Lafayette,7,Southern Mississippi,33
09/05/1981,Louisville,0,Florida State,17
09/05/1981,Memphis,3,Mississippi State,20
09/05/1981,Mississippi,19,Tulane,18
09/05/1981,Missouri Southern,6,Wichita State,38
09/05/1981,Nevada-Las Vegas,16,San Jose State,6
09/05/1981,New Mexico,10,Houston,21
09/05/1981,New Mexico State,14,Texas-El Paso,7
09/05/1981,North Texas,6,Kentucky,28
09/05/1981,Oregon,16,Fresno State,23
09/05/1981,Richmond,21,North Carolina State,27
09/05/1981,Rutgers,29,Syracuse,27
09/05/1981,South Carolina,23,Wake Forest,6
09/05/1981,Southern Illinois,12,McNeese State,27
09/05/1981,Tennessee,0,Georgia,44
09/05/1981,Tennessee Tech,22,East Tennessee State,31
09/05/1981,Texas A&M,29,California,28
09/05/1981,Texas Christian,16,Auburn,24
09/05/1981,Texas-Arlington,0,Southern Methodist,48
09/05/1981,Utah State,0,Utah,10
09/05/1981,Western Carolina,6,East Carolina,42
09/05/1981,Western Illinois,7,Illinois State,31
09/05/1981,William & Mary,0,Temple,42
09/05/1981,Wofford,10,Clemson,45
09/05/1981,Youngstown State,19,Cincinnati,13
09/12/1981,Air Force,21,Brigham Young,45
09/12/1981,Akron,14,Eastern Michigan,7
09/12/1981,Arkansas State,35,Louisiana-Monroe,13
09/12/1981,Army,10,Missouri,24
09/12/1981,Boston University,6,Holy Cross,14
09/12/1981,Bowling Green State,0,Baylor,38
09/12/1981,California,13,Georgia,27
09/12/1981,Cincinnati,0,Penn State,52
09/12/1981,Citadel,7,Navy,17
09/12/1981,Clemson,13,Tulane,5
09/12/1981,Colgate,5,Rutgers,13
09/12/1981,Duke,13,Ohio State,34
09/12/1981,East Carolina,0,North Carolina,56
09/12/1981,East Tennessee State,3,Louisiana Tech,31
09/12/1981,Fresno State,28,Oregon State,31
09/12/1981,Fullerton State,9,Utah State,14
09/12/1981,Furman,7,Florida,35
09/12/1981,Georgia Tech,24,Alabama,21
09/12/1981,Illinois,27,Michigan State,17
09/12/1981,Indiana,21,Northwestern,20
09/12/1981,Indiana State,14,Drake,17
09/12/1981,James Madison,0,Appalachian State,45
09/12/1981,Long Beach State,17,Northern Illinois,7
09/12/1981,Louisiana State,9,Notre Dame,27
09/12/1981,Maryland,17,Vanderbilt,23
09/12/1981,McNeese State,21,Ball State,24
09/12/1981,Memphis,5,Florida State,10
09/12/1981,Miami (Ohio),33,William & Mary,14
09/12/1981,Michigan,14,Wisconsin,21
09/12/1981,Middle Tennessee State,19,Tennessee-Chattanooga,42
09/12/1981,Mississippi,20,South Carolina,13
09/12/1981,Montana State,21,Washington State,33
09/12/1981,Morehead State,17,Marshall,20
09/12/1981,Nebraska,7,Iowa,10
09/12/1981,New Mexico,42,Nevada-Las Vegas,49
09/12/1981,New Mexico State,13,Texas-Arlington,26
09/12/1981,North Carolina State,28,Wake Forest,23
09/12/1981,North Texas,7,Southern Methodist,34
09/12/1981,Ohio,17,Minnesota,19
09/12/1981,Oregon,10,Kansas,19
09/12/1981,Pacific,14,Washington,34
09/12/1981,Rice,3,Texas,31
09/12/1981,Richmond,12,Virginia Tech,28
09/12/1981,San Diego State,30,Colorado State,14
09/12/1981,Santa Clara,7,San Jose State,41
09/12/1981,South Dakota,10,Kansas State,31
09/12/1981,Southeastern Louisiana,7,Louisiana-Lafayette,0
09/12/1981,Stanford,19,Purdue,27
09/12/1981,Syracuse,19,Temple,31
09/12/1981,Tennessee,7,Southern California,43
09/12/1981,Texas A&M-Kingsville,37,Texas-El Paso,15
09/12/1981,Texas Tech,27,Colorado,45
09/12/1981,Toledo,6,Louisville,31
09/12/1981,Tulsa,10,Arkansas,14
09/12/1981,UCLA,35,Arizona,18
09/12/1981,Utah,10,Arizona State,52
09/12/1981,West Texas A&M,13,Iowa State,17
09/12/1981,West Virginia,32,Virginia,18
09/12/1981,Western Carolina,14,Virginia Military Institute,21
09/12/1981,Western Michigan,20,Kent,17
09/12/1981,Wichita State,13,Southern Illinois,7
09/12/1981,Wyoming,20,Oklahoma,37
09/18/1981,Virginia,0,Rutgers,3
09/19/1981,Akron,6,Kent,17
09/19/1981,Alabama,19,Kentucky,10
09/19/1981,Ball State,0,Toledo,40
09/19/1981,Baylor,28,Louisiana Tech,21
09/19/1981,Bowling Green State,21,Ohio,23
09/19/1981,Brigham Young,65,Texas-El Paso,8
09/19/1981,Brown,7,Yale,28
09/19/1981,California,14,Arizona,13
09/19/1981,Cincinnati,7,Pittsburgh,38
09/19/1981,Colorado State,0,Tennessee,42
09/19/1981,Cornell,22,Pennsylvania,29
09/19/1981,Duke,3,South Carolina,17
09/19/1981,East Carolina,10,North Carolina State,31
09/19/1981,East Tennessee State,0,Furman,21
09/19/1981,Eastern Kentucky,0,Navy,24
09/19/1981,Eastern Michigan,7,Illinois State,28
09/19/1981,Florida State,14,Nebraska,34
09/19/1981,Fresno State,26,Montana State,30
09/19/1981,Fullerton State,12,Hawaii,38
09/19/1981,Georgia,3,Clemson,13
09/19/1981,Georgia Tech,6,Florida,27
09/19/1981,Grambling State,27,Southern Methodist,59
09/19/1981,Harvard,23,Columbia,6
09/19/1981,Holy Cross,10,Massachusetts,13
09/19/1981,Houston,7,Miami (Florida),12
09/19/1981,Indiana State,41,New Mexico State,6
09/19/1981,Iowa,12,Iowa State,23
09/19/1981,Kansas State,3,Washington,20
09/19/1981,Lamar,50,Sam Houston State,7
09/19/1981,Lehigh,14,Colgate,27
09/19/1981,Long Beach State,13,Louisville,35
09/19/1981,Louisiana-Lafayette,17,Louisiana-Monroe,20
09/19/1981,Marshall,3,Western Michigan,14
09/19/1981,McNeese State,59,Nicholls State,9
09/19/1981,Miami (Ohio),7,North Carolina,49
09/19/1981,Michigan State,13,Ohio State,27
09/19/1981,Mississippi,7,Memphis,3
09/19/1981,New Mexico,21,Texas Tech,28
09/19/1981,North Texas,10,Texas,23
09/19/1981,Northern Illinois,10,Central Michigan,17
09/19/1981,Northwestern,7,Arkansas,38
09/19/1981,Notre Dame,7,Michigan,25
09/19/1981,Oregon State,24,Louisiana State,27
09/19/1981,Pacific,0,Oregon,34
09/19/1981,Portland State,0,Utah,46
09/19/1981,Princeton,13,Dartmouth,32
09/19/1981,Purdue,13,Minnesota,16
09/19/1981,Rice,10,Missouri,42
09/19/1981,Richmond,24,Arkansas State,20
09/19/1981,San Jose State,28,Stanford,6
09/19/1981,Southern California,21,Indiana,0
09/19/1981,Syracuse,14,Illinois,17
09/19/1981,Temple,7,Delaware,13
09/19/1981,Tennessee State,17,Southern Illinois,14
09/19/1981,Tennessee-Chattanooga,14,Appalachian State,31
09/19/1981,Texas A&M,12,Boston College,13
