09/01/1979,Colorado State,17,Arizona,33
09/01/1979,Drake,12,Indiana State,19
09/01/1979,Long Beach State,10,Utah,34
09/01/1979,Louisiana Tech,0,New Mexico,34
09/01/1979,Louisiana-Monroe,13,Louisiana-Lafayette,17
09/01/1979,McNeese State,6,Tulsa,3
09/01/1979,Northern Michigan,7,Eastern Michigan,21
09/01/1979,Southern Illinois,0,West Texas A&M,14
09/01/1979,Texas-El Paso,0,North Texas,35
09/01/1979,Western Carolina,6,East Carolina,31
09/01/1979,Wichita State,13,New Mexico State,23
09/08/1979,Alabama,30,Georgia Tech,6
09/08/1979,Appalachian State,23,Wake Forest,30
09/08/1979,Arizona,22,Washington State,7
09/08/1979,Ball State,3,Miami (Ohio),27
09/08/1979,Brigham Young,18,Texas A&M,17
09/08/1979,California,17,Arizona State,9
09/08/1979,East Carolina,20,North Carolina State,34
09/08/1979,Eastern Kentucky,17,Kent,14
09/08/1979,Eastern Michigan,6,Bowling Green State,32
09/08/1979,Furman,0,Clemson,21
09/08/1979,Holy Cross,0,Rutgers,28
09/08/1979,Houston,24,UCLA,16
09/08/1979,Idaho,10,Fresno State,30
09/08/1979,Illinois,16,Michigan State,33
09/08/1979,Illinois State,27,Youngstown State,33
09/08/1979,Indiana,30,Iowa,26
09/08/1979,Indiana State,28,Wichita State,9
09/08/1979,James Madison,0,East Tennessee State,31
09/08/1979,Lamar,7,Baylor,20
09/08/1979,Louisiana-Lafayette,7,Southern Illinois,17
09/08/1979,Memphis,14,Mississippi State,13
09/08/1979,Nevada-Las Vegas,35,Fullerton State,14
09/08/1979,New Mexico State,13,Drake,14
09/08/1979,North Texas,7,Oklahoma State,25
09/08/1979,Northwestern,7,Michigan,49
09/08/1979,Ohio,10,Minnesota,24
09/08/1979,Oregon,33,Colorado,19
09/08/1979,Oregon State,16,New Mexico,35
09/08/1979,Pacific,7,Texas-El Paso,31
09/08/1979,Presbyterian,21,Citadel,13
09/08/1979,Rice,17,Southern Methodist,35
09/08/1979,Richmond,0,Virginia,31
09/08/1979,San Diego State,15,Missouri,45
09/08/1979,South Carolina,0,North Carolina,28
09/08/1979,Southeastern Louisiana,3,McNeese State,10
09/08/1979,Southern California,21,Texas Tech,7
09/08/1979,Southern Mississippi,14,Florida State,17
09/08/1979,Stanford,10,Tulane,33
09/08/1979,Syracuse,8,Ohio State,31
09/08/1979,Temple,38,West Virginia,16
09/08/1979,Texas A&M-Commerce,14,Arkansas State,24
09/08/1979,Texas-Arlington,10,West Texas A&M,6
09/08/1979,Toledo,14,Marshall,31
09/08/1979,Tulsa,24,Air Force,7
09/08/1979,Utah,27,Hawaii,23
09/08/1979,Utah State,48,San Jose State,48
09/08/1979,Villanova,20,Maryland,24
09/08/1979,Virginia Tech,15,Louisville,14
09/08/1979,Western Carolina,24,Tennessee Tech,7
09/08/1979,Western Kentucky,28,Tennessee-Chattanooga,41
09/08/1979,Western Michigan,0,Central Michigan,10
09/08/1979,William & Mary,3,Virginia Military Institute,7
09/08/1979,Wisconsin,20,Purdue,41
09/08/1979,Wyoming,2,Washington,38
09/15/1979,Air Force,0,Wisconsin,38
09/15/1979,Appalachian State,32,Virginia Tech,41
09/15/1979,Arizona State,3,Florida State,31
09/15/1979,Arkansas State,17,Louisiana-Monroe,18
09/15/1979,Ball State,14,Toledo,31
09/15/1979,Boise State,7,Long Beach State,9
09/15/1979,Bowling Green State,10,Iowa State,38
09/15/1979,Cal Poly-San Luis Obispo,17,Pacific,31
09/15/1979,California,10,Arizona,7
09/15/1979,Cincinnati,6,Southern Mississippi,24
09/15/1979,Citadel,7,Navy,26
09/15/1979,Colgate,15,William & Mary,28
09/15/1979,Colorado State,3,Arkansas,36
09/15/1979,Connecticut,10,Army,26
09/15/1979,Drake,21,Temple,43
09/15/1979,East Carolina,14,Duke,28
09/15/1979,East Tennessee State,14,Northern Illinois,21
09/15/1979,Eastern Michigan,7,Ohio,20
09/15/1979,Florida,10,Houston,14
09/15/1979,Fort Hays State,7,Illinois State,35
09/15/1979,Fresno State,22,Montana State,20
09/15/1979,Holy Cross,17,New Hampshire,26
09/15/1979,Indiana State,17,Western Illinois,14
09/15/1979,Iowa,6,Oklahoma,21
09/15/1979,Kansas,0,Pittsburgh,24
09/15/1979,Kansas State,18,Auburn,26
09/15/1979,Kent,13,Akron,15
09/15/1979,Lamar,58,Western Kentucky,27
09/15/1979,Louisiana State,44,Colorado,0
09/15/1979,Louisiana Tech,7,Tennessee-Chattanooga,24
09/15/1979,Louisiana-Lafayette,20,Tulsa,28
09/15/1979,Louisville,12,Miami (Florida),24
09/15/1979,Maryland,19,Clemson,0
09/15/1979,Massachusetts,7,Villanova,35
09/15/1979,Miami (Ohio),15,Kentucky,14
09/15/1979,Mississippi,38,Memphis,34
09/15/1979,Missouri,14,Illinois,6
09/15/1979,Montana,14,Washington State,34
09/15/1979,Nevada-Las Vegas,26,Nevada,21
09/15/1979,New Mexico,7,Texas Tech,17
