08/27/1984,Auburn,18,Miami (Florida),20
09/01/1984,Akron,17,Kent,24
09/01/1984,Appalachian State,7,Clemson,40
09/01/1984,Arkansas State,2,Memphis,17
09/01/1984,Ball State,10,Massachusetts,26
09/01/1984,Brigham Young,20,Pittsburgh,14
09/01/1984,East Carolina,17,Florida State,48
09/01/1984,Eastern Michigan,7,Youngstown State,31
09/01/1984,Florida,20,Miami (Florida),32
09/01/1984,Fresno State,27,Arizona,22
09/01/1984,Fullerton State,27,Boise State,25
09/01/1984,Lincoln,0,Illinois State,54
09/01/1984,Louisiana-Lafayette,7,Tennessee-Chattanooga,9
09/01/1984,Mississippi State,30,Tulane,3
09/01/1984,Missouri State,17,Drake,12
09/01/1984,Murray State,26,Louisville,23
09/01/1984,New Mexico State,0,San Jose State,14
09/01/1984,Northern Michigan,22,Central Michigan,45
09/01/1984,Northwestern,16,Illinois,24
09/01/1984,Ohio,0,West Virginia,38
09/01/1984,San Diego State,16,Air Force,34
09/01/1984,South Dakota,13,Wyoming,31
09/01/1984,Southern Illinois,10,Tulsa,23
09/01/1984,Texas State,38,Wichita State,31
09/01/1984,Texas-El Paso,17,Texas A&M,20
09/01/1984,Washington State,27,Tennessee,34
09/01/1984,Wayne State,6,Indiana State,42
09/01/1984,Weber State,16,Utah,52
09/01/1984,West Texas A&M,33,Northern Illinois,40
09/01/1984,Western Carolina,24,Boston College,44
09/08/1984,Akron,27,Cincinnati,28
09/08/1984,Baylor,13,Brigham Young,47
09/08/1984,Boston College,38,Alabama,31
09/08/1984,California,13,Arizona,23
09/08/1984,Citadel,24,South Carolina,31
09/08/1984,Clemson,55,Virginia,0
09/08/1984,Colorado State,9,Mississippi State,14
09/08/1984,East Carolina,0,Temple,17
09/08/1984,Eastern Illinois,17,Indiana State,24
09/08/1984,Fresno State,37,Boise State,21
09/08/1984,Fullerton State,21,Hawaii,13
09/08/1984,Idaho State,14,Texas-El Paso,16
09/08/1984,Indiana,24,Duke,31
09/08/1984,Iowa State,21,Iowa,59
09/08/1984,Kansas State,14,Vanderbilt,26
09/08/1984,Kent,0,Kentucky,42
09/08/1984,Long Beach State,17,Oregon,28
09/08/1984,Louisiana State,21,Florida,21
09/08/1984,Louisiana-Lafayette,17,Louisiana Tech,16
09/08/1984,Louisville,6,West Virginia,30
09/08/1984,Memphis,6,Mississippi,22
09/08/1984,Miami (Florida),14,Michigan,22
09/08/1984,Miami (Ohio),13,Western Michigan,17
09/08/1984,Michigan State,24,Colorado,21
09/08/1984,Missouri,24,Illinois,30
09/08/1984,Nevada,7,Pacific,12
09/08/1984,New Mexico State,21,New Mexico,61
09/08/1984,Northern Colorado,7,Air Force,75
09/08/1984,Northern Illinois,14,Wisconsin,27
09/08/1984,Northern Iowa,33,Drake,28
09/08/1984,Northwestern,0,Washington,26
09/08/1984,Notre Dame,21,Purdue,23
09/08/1984,Ohio,6,North Carolina State,43
09/08/1984,Oklahoma State,45,Arizona State,3
09/08/1984,Oregon State,14,Ohio State,22
09/08/1984,Rice,24,Minnesota,31
09/08/1984,Richmond,28,Bowling Green State,55
09/08/1984,Rutgers,12,Penn State,15
09/08/1984,San Jose State,15,Nevada-Las Vegas,30
09/08/1984,Southern Illinois,7,Illinois State,35
09/08/1984,Southern Mississippi,19,Georgia,26
09/08/1984,Stanford,7,Oklahoma,19
09/08/1984,Syracuse,23,Maryland,7
09/08/1984,Toledo,20,Ball State,2
09/08/1984,UCLA,18,San Diego State,15
09/08/1984,Utah,40,Washington State,42
09/08/1984,Utah State,7,Southern California,42
09/08/1984,Virginia Tech,21,Wake Forest,20
09/08/1984,West Texas A&M,19,Texas-Arlington,27
09/08/1984,Wichita State,7,Kansas,31
09/08/1984,Wyoming,7,Nebraska,42
09/15/1984,Air Force,20,Wyoming,26
09/15/1984,Alabama,6,Georgia Tech,16
09/15/1984,Appalachian State,13,Wake Forest,17
09/15/1984,Arizona,27,Oregon State,8
09/15/1984,Auburn,27,Texas,35
09/15/1984,Bowling Green State,14,Oklahoma State,31
09/15/1984,Cal Poly-San Luis Obispo,0,Fresno State,14
09/15/1984,Colgate,15,Army,41
09/15/1984,Colorado,20,Oregon,27
09/15/1984,Drake,17,Iowa State,21
09/15/1984,East Carolina,12,Central Michigan,17
09/15/1984,Eastern Michigan,17,Marshall,24
09/15/1984,Florida State,42,Kansas,16
09/15/1984,Furman,34,North Carolina State,30
09/15/1984,Hawaii,3,Colorado State,10
09/15/1984,Idaho,7,Fullerton State,28
09/15/1984,Illinois,19,Stanford,34
09/15/1984,Illinois State,14,Western Michigan,41
09/15/1984,Kentucky,48,Indiana,14
09/15/1984,Long Beach State,17,UCLA,23
09/15/1984,Louisiana Tech,0,Southern Mississippi,34
09/15/1984,Louisiana-Monroe,7,Louisiana-Lafayette,6
09/15/1984,Miami (Florida),28,Purdue,17
09/15/1984,Miami (Ohio),17,Houston,30
09/15/1984,Minnesota,7,Nebraska,38
09/15/1984,Mississippi,14,Arkansas,14
09/15/1984,Navy,33,North Carolina,30
09/15/1984,Nevada-Las Vegas,28,New Mexico State,21
09/15/1984,Notre Dame,24,Michigan State,20
09/15/1984,Ohio,31,Ball State,17
09/15/1984,Oklahoma,42,Pittsburgh,10
09/15/1984,Pacific,12,California,28
09/15/1984,Penn State,20,Iowa,17
09/15/1984,San Jose State,0,Arizona State,48
09/15/1984,Southern Methodist,41,Louisville,7
09/15/1984,Syracuse,13,Northwestern,12
09/15/1984,Temple,9,Rutgers,10
09/15/1984,Tennessee Tech,12,Kansas State,28
09/15/1984,Texas Christian,62,Utah State,18
09/15/1984,Texas-Arlington,7,Texas Tech,44
09/15/1984,Texas-El Paso,2,San Diego State,51
09/15/1984,Tulane,21,Florida,63
09/15/1984,Tulsa,15,Brigham Young,38
09/15/1984,Utah,21,Tennessee,27
09/15/1984,Vanderbilt,23,Maryland,14
09/15/1984,Virginia Military Institute,7,Virginia,35
09/15/1984,Washington,20,Michigan,11
09/15/1984,Washington State,0,Ohio State,44
09/15/1984,West Texas A&M,0,New Mexico,27
09/15/1984,West Virginia,14,Virginia Tech,7
09/15/1984,Western Illinois,34,Southern Illinois,24
09/15/1984,Wichita State,7,Louisiana State,47
09/15/1984,Wisconsin,35,Missouri,34
09/15/1984,Youngstown State,27,Cincinnati,23
09/22/1984,Air Force,17,Utah,28
09/22/1984,Arizona,26,Louisiana State,27
09/22/1984,Arkansas State,19,Southern Illinois,0
09/22/1984,Army,24,Tennessee,24
09/22/1984,Ball State,14,Washington State,16
09/22/1984,Baylor,15,Oklahoma,34
09/22/1984,Bowling Green State,41,Miami (Ohio),10
09/22/1984,Brigham Young,18,Hawaii,13
09/22/1984,Cincinnati,7,Memphis,47
09/22/1984,Citadel,3,Georgia Tech,48
09/22/1984,Clemson,23,Georgia,26
09/22/1984,Colorado,14,Notre Dame,55
09/22/1984,Duke,0,South Carolina,21
09/22/1984,Eastern Illinois,17,Toledo,38
09/22/1984,Florida State,38,Miami (Florida),3
09/22/1984,Fullerton State,34,Colorado State,22
09/22/1984,Georgia Southern,27,East Carolina,34
09/22/1984,Houston,7,Washington,35
09/22/1984,Illinois State,7,Indiana State,19
09/22/1984,Indiana,37,Northwestern,40
09/22/1984,Iowa,26,Ohio State,45
09/22/1984,Iowa State,17,Texas A&M,38
09/22/1984,Kansas,6,Vanderbilt,41
09/22/1984,Kansas State,10,Texas Christian,42
09/22/1984,Kent,10,Northern Illinois,24
09/22/1984,Kentucky,30,Tulane,26
